,Text,Speaker,Season
128, Skyler...,Walter,3
129, I know but theres a problem.,Hank,2
130, My name is Walter Hartwell White. I live at 308 Negra Arroyo Lane Albuquerque New Mexico 87104. To all law enforcement entitles this is not an admission of guilt. I am speaking to my family now. Skyler you are the love of my life. I hope you know that. Walter Junior youre my big man. There are...there are going to be some things that youll come to learn about me in the next few days. I just want you to know that no–no matter how it may look I only had you in my heart. Goodbye.,Walter,1
131, Ive got a better idea.,Walter,4
132, Yes!,Jesse,2
133, The game has changed yo. This is our city alright? All of it. The whole damn place. Our territory. Were staking our claim. Yo we sell when we want where we want. Were gonna be kings understand? Well Im gonna be king and you guys will be like princes or dukes or something.,Hank,2
134, Okay now we...I mean what do we...Oh! Hey I almost forgot. [Jesse hands Walter a paper bag filled with money] So how do you want to...yknow...proceed in light of this kickass news?,Hank,4
135, Yeah. Thats pretty much the size of it.,Walter,5
136, ...A battery.,Walter,4
137, My son! My bottle! My house!,Walter,2
138, What are we building?,Jesse,3
139, [laughs weakly] Something... something scientific right...,Walter,2
140, I dont know. I swear I dont know. I no I it maybe it was I did change the channel on his TV but uh...,Walter,4
141, God. This entire process has just been so... Its always been one step forward and two steps back. We need your help.,Walter,4
142, You cant be serious. What the hell are you doing here?,Walter,1
143, All I ever managed to do was worry and disappoint them. And lie. Oh God the lies...I cant even...cant even keep them straight in my head anymore...,Walter,3
144, I mean two would probably work I guess yeah.,Hank,5
145, What?,Jesse,2
146, I dont understand. What exactly are you offering to do for me?,Walter,2
147, You tell me Skyler. You tell me exactly what it is you think Im lying about. What an affair? Im having an affair? Is that what you think?,Walter,4
148, Thats not how it happened.,Jesse,2
149, Weve had some extenuating circumstances.,Walter,2
150, I am awake.,Walter,1
151, God. This entire process has just been so... Its always been one step forward and two steps back. We need your help.,Walter,3
152, Short speech. You lost your partner today. Whats his name – Emilio? Emilio is going to prison. The DEA took all your money your lab. You got nothing. Square one. But you know the business. And I know the chemistry. Im thinking...maybe you and I could partner up.,Walter,1
153, They sweated me plenty but they finally cut me loose. So you getting out of there?,Jesse,4
154, So whats this stuff called again?,Hank,1
155, Oh what I can talk now? [pause] Fine! That goes double for me!,Hank,1
156, Your what? What is that?,Walter,2
157, ...A battery.,Walter,3
158, Yo you wanna go shopping go do it yourself alright? I got plans.,Hank,3
159, I woke up. I found her. Thats all I know.,Hank,3
160, Dude! No way!,Hank,4
161, Thats Backwardo. Oh wait no actually I changed it to Rewindo. Anyways he goes backwards. He can make everything go in reverse.,Jesse,3
162, No thanks for caring.,Jesse,5
163, Hey I said I was sorry alright? I just need my half of the money and Ill go!,Jesse,4
164, Like come on! Man youre smart! All right you made poison out of beans yo! Look weve got an entire lab right here. How about you take some of these chemicals and mix up some... some rocket fuel that way we could just send up a signal flare. Or you make some kind of robot to get us help... or a homing device... or building a battery... [Walts eyes snap open] Or what if we just take some stuff off of the RV and build it into something completely different? You know like a... like a dune buggy! And that way we could just dune buggy our... [Walt sits up] What? Hey... what is it? What?,Hank,3
165, I want you gone by Monday morning. I want...I want you gone.,Skyler,5
166, You mean good? You mean like good good? You mean like remission good?,Jesse,3
167, I woke up. I found her. Thats all I know.,Hank,5
168, No? Thats not the point?,Jesse,5
169, How about the basement?,Walter,4
170, Gather them. And–and–and washers and nuts and bolts and screws and whatever little pieces of metal we can think of that is galvanized – it has to be galvanized – or–or solid zinc.,Walter,2
171, Its weird is all okay? It doesnt compute. Listen if youve gone crazy or something; I mean if youve gone crazy or depressed Im just saying thats something I need to know about. Okay? I mean that affects me.,Hank,1
172, Were not charging enough.,Walter,2
173, Jesus I dont wanna die! NO!,Hank,5
174, What are we building?,Hank,2
175, Smoking marijuana eating Cheetos and masturbating do not constitute plans in my book.,Walter,4
176, What the f...?,Walter,5
177, Oh my conjecture isnt helping?,Hank,3
178, Since when?,Walter,5
179, You said it yourself.,Walter,5
180, Alright. You know what? [Jesse takes out a wad of cash] Four grand. Your share from selling that batch. Thats why Im here. Yeah thats right. I didnt smoke it all. [Jesse tosses the money into Walters pool and leaves],Jesse,1
181, Tuco cmon hey hes theres clearly some dementia. Hes not lucid.,Walter,4
182, Fuck you.,Walter,4
183, ...Copper.,Walter,5
184, So this is what? Blackmail?,Walter,4
185,,Skyler,1
186, Damn...,Jesse,2
187, 38 pounds. Ready to go at a moments notice. [Gus gets up] Will I hear from you?,Walter,3
188, What? What does that even mean?,Jesse,5
189, Pop pop pop? So three shots?,Walter,4
190, Man cmon!,Jesse,2
191, It was my hard work. My research. And you and Elliott made millions off it.,Walter,4
192, And perhaps I was overly ambitious. In any case its not gonna happen that way anymore.,Walter,2
193, Because youre a liar Walt. Two cell phones after all.,Skyler,5
194, What?,Jesse,3
195, So you plan to uh ice Gonzo like...future tense?,Hank,4
196, Yo its me. Is this a good time?,Hank,2
197, Im not out of the woods yet not by any stretch...but options is the word they keep bandying about.,Walter,5
198, in rushing tone] I woke up. I found her. Thats all I know. I woke up. I found her. Thats all I know.,Hank,3
199, All right all right...,Jesse,4
200, Oh God thats beautifully done.,Walter,2
201, You still wanna cook? Seriously?,Hank,2
202, $600000 each.,Jesse,4
203, They sweated me plenty but they finally cut me loose. So you getting out of there?,Hank,2
204, Hey...no...no man. No...,Hank,3
205, Not a clue.,Hank,1
206, The dude needs his eye candy ...,Hank,3
207, I dont know. To like...touch base.,Jesse,1
208, Right on little bro! Making mad in-roads with the business community.,Jesse,1
209, You got the C man alright? Youre as good as checked out already okay? You should be all like sacrificial jumping on a grenade yo. Just...,Jesse,5
210, My son! My bottle! My house!,Walter,3
211, You mean good? You mean like good good? You mean like remission good?,Hank,4
212, Nothing. Im sorry I just...,Jesse,4
213, You still wanna cook? Seriously?,Hank,4
214, Thats awesome! Serious? Thats...thats...thats great man! My aunt she never...I mean yknow at your stage I didnt even think that could happen.,Jesse,3
215, Honey we have been over this. Asked and answered right? There–,Walter,2
216, I woke up. I found her. Thats all I know.,Hank,2
217, Yeah? Jesus how the hell do you spell street wrong? S-T-R-E-A-T?,Jesse,3
218, I dont even know what...,Hank,4
219, Is this a five or an S?,Hank,3
220, Think think. Lets just bum rush him man. You know you crack him over the head with something and Ill go for his gun.,Jesse,4
221, I mean two would probably work I guess yeah.,Jesse,2
222, And now what? You decided to oh I dont know make your eldest son homeless? Wow great family mom!,Hank,2
223, A robot?,Hank,3
224, Yeah yeah yeah thats it. While you were cooking you know he was watching one of those uh those uh telenovels yknow with all those ripe honeys on it? Yknow he was really into it. I told you not to change the channel man! Yknow dude needs his eye candy. Thats it!,Jesse,3
225, Okay... [gets up],Walter,3
226, Alright say we set up one last sale this is providing he doesnt decide to waste us before then. Now every time we bring in a new batch he always tests the product right? So as his head is down yknow giving it a snort just pop pop pop!,Hank,3
227, What? What does that even mean?,Hank,3
228, A junkyard? Let me guess you picked this place?,Jesse,1
229, Im taking the baby with me. Marie will pick up Walter Jr. from school. You will have the house to yourself for two days. I want you to pack your things and leave.,Skyler,2
230, Everybody digs...the meth we cooked.,Walter,1
231, [in a calm tone] - Then what do you suggest we do? I dont think either of us are eager to jump into bed with another Tuco.,Walter,2
232, I deserve this.,Hank,4
233, What is wrong with you? Why are you blue? Aw Jesus...,Walter,4
234, Apparently its all over town. Somebody crossed you you got angry you crushed their skull with an ATM machine.,Walter,3
235,   ,Marie,4
236, I dont know. How about Taco Cabeza? Half the deals Ive ever done went down at Taco Cabeza. Nice and public. Open twenty-four hours. Nobody ever gets shot at Taco Cabeza. Hell why not the mall? You know wait at the Gap. Hey! Its time for the meet! You know Ill put down the flat-front khakis head on over grab an Orange Julius. Skip the part where psycho lunatic Tuco you know comes and steals my drugs and leaves me bleeding to death.,Jesse,1
237, No mom mom mom! Hey where am I supposed to go?,Hank,3
238, You mean good? You mean like good good? You mean like remission good?,Hank,3
239, A robot?,Jesse,2
240, Prick! And let me tell you something else this aint chemistry. This is art. Cooking is art. And the shit I cook is the bomb so dont be telling me.,Jesse,1
241, Okay... [gets up],Walter,4
242, What are we building?,Jesse,2
243, Capn Cook? Thats not you? Like I said no one is looking for you.,Walter,1
244, Did you learn nothing from my chemistry class?,Walter,1
245, Tell you what?,Walter,1
246, Tuco? no man ... no more Taco... I got bills man.,Jesse,5
247, Oh we are dead. Dead men! Muerto or muerte or however the hell you...Jesus...,Hank,4
248, What?,Hank,4
249, Man cmon!,Hank,3
250, Alright fine facts in. Fact A my phone rang like eight times last night. Dead air hang-ups every time. Second fact? Like three in the morning I saw that black Caddy of his cruising my neighborhood. No headlights.,Hank,2
251, Whos this Jesse Pinkman to you?,Skyler,1
252, I woke up. I found her. Thats all I know.,Jesse,5
253, Jeez.,Jesse,1
254, Yeah no shit. Thanks for noticing.,Skyler,1
255, I told you not to change the channel Man!,Jesse,2
256, Well were set. Boys are ready. Gonna make some mad cheddar yo. [Walter looks at Jesse] Cheddar Mr. White. Fat stacks. Dead Presidents. Cash money. Were gonna own this city.,Jesse,5
257, How significant?,Hank,2
258, Thats Backwardo. Oh wait no actually I changed it to Rewindo. Anyways he goes backwards. He can make everything go in reverse.,Hank,3
259, So youre going to what? Snort meth off a bowie knife? Youre gonna beat your homies to death when they dis you?,Walter,5
260,,Walter,3
261, And–and–and bring me... brake pads! The front wheels should have discs. Take them off and bring them to me.,Walter,2
262, Yo its me. Is this a good time?,Hank,3
263, Thats Backwardo. Oh wait no actually I changed it to Rewindo. Anyways he goes backwards. He can make everything go in reverse.,Hank,5
264, The game has changed yo. This is our city alright? All of it. The whole damn place. Our territory. Were staking our claim. Yo we sell when we want where we want. Were gonna be kings understand? Well Im gonna be king and you guys will be like princes or dukes or something.,Hank,5
265, You know what? Screw this. Im walking. You can come or not. Wheres my other shoe?,Jesse,2
266, Alright I will admit to a bit of a learning curve.,Walter,2
267, So you do have a plan! Yeah Mr. White! Yeah science!,Hank,1
268, You could charge twice the current rate for what I provide and your customers would pay it hands down. Now who I choose to do business with on my end is not your problem. You wont see him you wont interact with him. Forget he exists.,Walter,5
269, How much?,Jesse,5
270,,Walter,1
271, This is conjecture?,Hank,3
272, You know what I think? I think you accidentally told the truth.,Skyler,3
273, Its a whole lot of cheddar.,Hank,4
274, I woke up. I found her. Thats all I know.,Hank,5
275, So whats this stuff called again?,Jesse,1
276, I know but theres a problem.,Jesse,5
277, I got profile now yo. Dont you get that? DEAs up my ass. [takes a sip of his beer] No Im not exposing myself to that level of risk for chump change. - No way.,Jesse,5
278, Are you actually this stupid...,Walter,3
279, Tuco? no man ... no more Taco... I got bills man.,Jesse,2
280, Whatever it is Im afraid to know.,Skyler,2
281, Nobody.,Jesse,5
282, Smoking marijuana eating Cheetos and masturbating do not constitute plans in my book.,Walter,2
283, Tuco cmon hey hes theres clearly some dementia. Hes not lucid.,Walter,3
284, I got profile now yo. Dont you get that? DEAs up my ass. [takes a sip of his beer] No Im not exposing myself to that level of risk for chump change. - No way.,Jesse,4
285, You dont know. You know why you dont know? Because you dont think! Thats why! You dont think! You never figured out how to think did you big man?,Walter,5
286, Oh I know. I know youre not. Cause I asked her. It really took me forever to get in touch with her. She was ducking my calls for weeks. So I finally left a message What exactly is going on between you and my husband? I thought thatd get her attention and it did. So she called me back and she finally told me. The money? For your treatment? Gretchen and Elliott didnt give you a dime. They paid for nothing. You refused every offer they made you but that didnt make sense because I checked with Delcavoli in the hospital and not including your surgery were nearly paid up. Over $100000. Out of where? Out of thin air? But then I called your mother. Yeah. Thanks for that too. But I thought yknow maybe she has some money that I dont know about? Maybe she contributed? Its possible. It turns out that not only is the money not your mother she didnt even know that you have cancer. You never went to see her. I dropped you at the airport I picked you up you were gone for four days and yet she swears that you were never there. Lies on top of lies on top of lies.,Skyler,3
287, The soul? Theres nothing but chemistry here.,Walter,1
288, You still wanna cook? Seriously?,Jesse,3
289, All I ever managed to do was worry and disappoint them. And lie. Oh God the lies...I cant even...cant even keep them straight in my head anymore...,Walter,5
290, Man cmon!,Jesse,4
291, You know what I think? I think you accidentally told the truth.,Skyler,4
292, You could charge twice the current rate for what I provide and your customers would pay it hands down. Now who I choose to do business with on my end is not your problem. You wont see him you wont interact with him. Forget he exists.,Walter,4
293, I dont understand. What exactly are you offering to do for me?,Walter,4
294, Think think. Lets just bum rush him man. You know you crack him over the head with something and Ill go for his gun.,Hank,5
295, All right all right...,Hank,5
296, You dont know. You know why you dont know? Because you dont think! Thats why! You dont think! You never figured out how to think did you big man?,Walter,2
297, in rushing tone] I woke up. I found her. Thats all I know. I woke up. I found her. Thats all I know.,Jesse,5
298, So what? Youre just doing this out of the kindness of your heart?,Walter,5
299, Yes. Yes thats what we need. We need a distributor now. Do you know anyone like that?,Walter,1
300, Go and dont come back. Now!,Walter,1
301, Oh-ho!,Jesse,5
302, Okay.,Hank,5
303, Pay phone middle of nowhere nobody followed. So howd it go?,Jesse,5
304, When were you going to tell me?,Hank,1
305, I dont even know what...,Hank,2
306, Oh I mean...,Hank,2
307, Yeah you know...what you call...a debrief? Maybe we could like...I thought we could debrief.,Hank,1
308, How significant?,Jesse,5
309, You wanna know how much Ive got left? After completing my first round of treatment and financing the worlds most expensive alibi? Zero. Zip. Nothing.,Walter,3
310, Its a whole lot of cheddar.,Jesse,3
311, Okay.,Jesse,3
312, The picture of innocence. Just sweetness and light.,Walter,2
313, Pay phone middle of nowhere nobody followed. So howd it go?,Hank,4
314, Im going to Hank and Maries for the weekend.,Skyler,4
315, [starts to head outside] Solid zinc...,Jesse,5
316, Youre saying Tuco youre saying Gonzo is currently operating as a police informant as far as you know? [Tuco nods] Im very sorry to hear that. Thats disappointing.,Walter,4
317, What? What does that even mean?,Hank,2
318, Whats it feel like?,Hank,2
319, Yo Im really sorry okay?,Hank,2
320, I want you to handle it.,Walter,5
321, Three entire bags of Funyuns?,Walter,3
322, It is impeccable. It is the purest most chemically sound product on the market anywhere.,Walter,5
323, How about we get him a real attorney? I mean what the hell is this? This is who he hires?,Walter,2
324, Youre damn right.,Walter,2
325, Seriously I got dudes that would give their left nut for a little more.,Hank,1
326, No he just walks backwards.,Jesse,3
327, Sooner or later this is gonna happen. If you want your exponential growth guys are gonna get busted. Simple as that.,Jesse,4
328, All right all right...,Hank,2
329, Im taking the baby with me. Marie will pick up Walter Jr. from school. You will have the house to yourself for two days. I want you to pack your things and leave.,Skyler,3
330, Nothing nothing.,Walter,4
331, Yeah. I mean I used to until you killed him.,Jesse,1
332, Hey! Bring. The bottle. Back.,Walter,2
333, No.,Walter,3
334, Corner the market then raise the price. Simple economics.,Walter,3
335, How gay are you seriously?,Hank,2
336, We tried to poison you. We tried to poison you because you are an insane degenerate piece of filth and you deserve to die.,Walter,3
337, Ooooh wire.,Jesse,2
338, No I am just trying to understand how this works!,Walter,2
339, [to Skyler] Our son doesnt know who Boz Scaggs is. We have failed as parents.,Walter,5
340, I have spent my whole life scared – frightened of things that could happen might happen might not happen. Fifty years I spent like that. Finding myself awake at three in the morning. But you know what? Ever since my diagnosis I sleep just fine.,Walter,5
341, [pointing to Walters chemo mark on his chest] My aunt had one of those...dots on her to target the radiation. What is it in your lung? Im your partner man. You should have told me. Thats not cool okay? Not at all. What stage are you?,Jesse,1
342, Look that is completely uncool alright? We agreed 50/50 partners!,Hank,3
343, Thats what I was thinking yeah. For the last few weeks.,Skyler,4
344, What would you know about me Gretchen? What would your presumption about me be exactly? That I should go begging for your charity and you waving your checkbook around like some magic wand is going to make me forget how you and Elliott – how you and Elliott – cut me out?,Walter,4
345, [starts to head outside] Solid zinc...,Jesse,3
346, How much did you get for the deal?,Jesse,4
347, Think think. Lets just bum rush him man. You know you crack him over the head with something and Ill go for his gun.,Jesse,2
348, I dont care. We agreed...[Skyler walks by]...no amount of pay-per-view channels is going to make a difference. Honey were happy with our cable provider right? Yep were happy. [Walter hangs up],Walter,2
349, I got profile now yo. Dont you get that? DEAs up my ass. [takes a sip of his beer] No Im not exposing myself to that level of risk for chump change. - No way.,Hank,5
350, - No dont you see how great this is? Look you.. You are a --,Walter,3
351, Uh yeah?,Hank,2
352, And now what? You decided to oh I dont know make your eldest son homeless? Wow great family mom!,Hank,3
353, Funyuns are awesome.,Hank,2
354, We need a plan.,Walter,2
355, Adjusting for inflation – good state college – adjusting for inflation say $45000 a year two kids four years of college...$360000. Remaining mortgage on the home $107000. Home equity line $30000 thats $137000. Cost of living food clothing utilities – say two grand a month? I mean that should put a dent in it anyway. 24K a year provides for say ten years. Thats $240000 plus 360 plus 137...737. $737000 thats what I need. That is what I need. You and I both clear about 70 grand a week. Thats only ten and a half more weeks. Call it eleven. Eleven more drug deals and always in a public place from now on. Its doable. Definitely doable.,Walter,4
356, Marijuana yeah. Not a lot. I mean I dont know. I kind of like it.,Walter,1
357, Thats right. Either that...or I turn you in.,Walter,1
358, I want you gone by Monday morning. I want...I want you gone.,Skyler,2
359, Cyber-begging thats all that is. Just rattling a little tin cup to the entire world.,Walter,4
360, Alright. You know what? [Jesse takes out a wad of cash] Four grand. Your share from selling that batch. Thats why Im here. Yeah thats right. I didnt smoke it all. [Jesse tosses the money into Walters pool and leaves],Hank,1
361, Alright tell you what. Both of you pull it out your butts right now or I go grab a flashlight and some pliers and go exploring.,Jesse,4
362, What?,Walter,5
363, [laughs weakly] Something... something scientific right...,Walter,3
364, Is New Zealand part of Australia?,Jesse,3
365, More for me.,Hank,2
366, Get the hell off my property.,Walter,1
367, What?,Jesse,3
368, What? You kidding me? This is the guy you want. This is the guy Id hire.,Hank,4
369, I woke up. I found her. Thats all I know.,Jesse,5
370, Well were set. Boys are ready. Gonna make some mad cheddar yo. [Walter looks at Jesse] Cheddar Mr. White. Fat stacks. Dead Presidents. Cash money. Were gonna own this city.,Jesse,2
371, Buy the RV. We start tomorrow.,Walter,1
372, in rushing tone] I woke up. I found her. Thats all I know. I woke up. I found her. Thats all I know.,Hank,2
373, You said it yourself.,Walter,4
374, At this time...$16000.,Walter,5
375, Pop pop pop? So three shots?,Walter,2
376, What does that...mean?,Skyler,1
377, Money! Mainly..,Hank,1
378, You dont know. You know why you dont know? Because you dont think! Thats why! You dont think! You never figured out how to think did you big man?,Walter,4
379, Oh so my life is not the priority here because Im gonna be dead soon anyway? Thats your point?,Walter,5
380, Yo its me. Is this a good time?,Jesse,5
381, Jesse look at me you are a blow fish.,Walter,2
382, I dont know. I swear I dont know. I no I it maybe it was I did change the channel on his TV but uh...,Walter,5
383, Right on. New Zealand thats where they uh thats where they made Lord of the Rings! I say we just move there yo! I mean you could do your art right? Like you could like paint the local castles and shit and I can be a bush pilot!,Jesse,5
